Service Level 1,Service Level 2,Service Level 3,Service Level 4,Service Level 5
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Pre-Built Azure 1000K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Pre-Built Azure 100K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Pre-Built Azure 20K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Pre-Built Azure 500K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Pre-Built Connected 1000K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Pre-Built Connected 100K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Pre-Built Connected 20K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Pre-Built Connected 500K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Custom Azure 1000K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Custom Azure 100K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Custom Azure 20K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Custom Azure 500K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Custom Connected 1000K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Custom Connected 100K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Custom Connected 20K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Custom Connected 500K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Free
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,S0
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer - disconnected,Commitment Tier Pre-Built Disconnected 1000K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer - disconnected,Commitment Tier Pre-Built Disconnected 100K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer - disconnected,Commitment Tier Pre-Built Disconnected 20K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer - disconnected,Commitment Tier Pre-Built Disconnected 500K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer - disconnected,Commitment Tier Custom Disconnected 1000K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer - disconnected,Commitment Tier Custom Disconnected 100K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer - disconnected,Commitment Tier Custom Disconnected 20K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer - disconnected,Commitment Tier Custom Disconnected 500K
AI + Machine Learning,Azure Applied AI Services,,Azure Immersive Reader,Commercial
AI + Machine Learning,Azure Applied AI Services,,Azure Immersive Reader,EDU Nonprofit
AI + Machine Learning,Azure Applied AI Services,,Azure Immersive Reader,Internal
AI + Machine Learning,Azure Applied AI Services,,Azure Metrics Advisor,Standard
AI + Machine Learning,Azure Applied AI Services,,Azure Video Analyzer,Live Video Analysis on Edge Basic
AI + Machine Learning,Azure Applied AI Services,,Azure Video Analyzer,Live Video Topology Additional Capacity S1
AI + Machine Learning,Azure Applied AI Services,,Azure Video Analyzer,Live Video Topology S1
AI + Machine Learning,Azure Applied AI Services,,Azure Video Analyzer,Video Exporting
AI + Machine Learning,Azure Applied AI Services,,Azure Video Analyzer,Video Streaming Basic
AI + Machine Learning,Azure Applied AI Services,,Azure Video Analyzer,Video Streaming Standard
AI + Machine Learning,Azure Applied AI Services,,Azure Video Analyzer for Media,Basic Audio Analysis
AI + Machine Learning,Azure Applied AI Services,,Azure Video Analyzer for Media,Standard Audio Analysis
AI + Machine Learning,Azure Applied AI Services,,Azure Video Analyzer for Media,Standard Video Analysis
AI + Machine Learning,Azure Bot Service,,Azure Bot Service,Free
AI + Machine Learning,Azure Bot Service,,Azure Bot Service,S1
AI + Machine Learning,Azure Bot Service,,Microsoft Azure Health Bot,Covid
AI + Machine Learning,Azure Bot Service,,Microsoft Azure Health Bot,Free
AI + Machine Learning,Azure Bot Service,,Microsoft Azure Health Bot,Standard
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise FPGA Inferencing,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise FPGA Training,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise General Compute Inferencing,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise General Compute Training,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU NC1 Series Inferencing,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU NC1 Series Training,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU NC2 Series Inferencing,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU NC2 Series Training,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU NC3 Series Inferencing,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU NC3 Series Training,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU ND Series Inferencing,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU ND Series Training,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU NDv2 Series Inferencing,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU NDv2 Series Training,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU NV Series Inferencing,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU NV Series Training,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU NVv2 Series Inferencing,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU NVv2 Series Training,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU NVv3Series Inferencing,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU NVv3Series Training,vCPU
AI + Machine Learning,Azure Machine Learning,,Machine Learning Experimentation,Free
AI + Machine Learning,Azure Machine Learning,,Machine Learning Experimentation,Standard
AI + Machine Learning,Azure Machine Learning,,Machine Learning Hardware Accelerated Models,Standard
AI + Machine Learning,Azure Machine Learning,,Machine Learning Model Management,Free
AI + Machine Learning,Azure Machine Learning,,Machine Learning Model Management,S1
AI + Machine Learning,Azure Machine Learning,,Machine Learning Model Management,S2
AI + Machine Learning,Azure Machine Learning,,Machine Learning Model Management,S3
AI + Machine Learning,Azure Machine Learning,,Machine Learning service,PB
AI + Machine Learning,Azure Machine Learning,,Machine Learning service,Standard
AI + Machine Learning,Azure Synthetics,,Azure Synthetics,Standard
AI + Machine Learning,Cognitive Services,,Academic Knowledge,Standard
AI + Machine Learning,Cognitive Services,,Anomaly Detector,Azure vCore
AI + Machine Learning,Cognitive Services,,Anomaly Detector,Connected vCore
AI + Machine Learning,Cognitive Services,,Anomaly Detector,Free
AI + Machine Learning,Cognitive Services,,Anomaly Detector,Standard
AI + Machine Learning,Cognitive Services,,Anomaly Detector - vCore,Disconnected vCore
AI + Machine Learning,Cognitive Services,,Azure OpenAI,Ada - Base
AI + Machine Learning,Cognitive Services,,Azure OpenAI,Babbage - Base
AI + Machine Learning,Cognitive Services,,Azure OpenAI,Curie - Base
AI + Machine Learning,Cognitive Services,,Azure OpenAI,Davinci - Base
AI + Machine Learning,Cognitive Services,,Bing Autosuggest v5,S1
AI + Machine Learning,Cognitive Services,,Bing Autosuggest v5,S2
AI + Machine Learning,Cognitive Services,,Bing Autosuggest v5,S3
AI + Machine Learning,Cognitive Services,,Bing Autosuggest v7,Free
AI + Machine Learning,Cognitive Services,,Bing Autosuggest v7,Standard
AI + Machine Learning,Cognitive Services,,Bing Custom Search,Free
AI + Machine Learning,Cognitive Services,,Bing Custom Search,S1
AI + Machine Learning,Cognitive Services,,Bing Custom Search,S2
AI + Machine Learning,Cognitive Services,,Bing Custom Search,S3
AI + Machine Learning,Cognitive Services,,Bing Custom Search,S4
AI + Machine Learning,Cognitive Services,,Bing Entity Search,Free
AI + Machine Learning,Cognitive Services,,Bing Entity Search,S1
AI + Machine Learning,Cognitive Services,,Bing Search,All Inclusive
AI + Machine Learning,Cognitive Services,,Bing Search,Any 2 Bundle
AI + Machine Learning,Cognitive Services,,Bing Search,Any 3 Bundle
AI + Machine Learning,Cognitive Services,,Bing Search,Any 4 Bundle
AI + Machine Learning,Cognitive Services,,Bing Search,Web Plus
AI + Machine Learning,Cognitive Services,,Bing Search v5,S1
AI + Machine Learning,Cognitive Services,,Bing Search v5,S2
AI + Machine Learning,Cognitive Services,,Bing Search v5,S3
AI + Machine Learning,Cognitive Services,,Bing Search v5,S4
AI + Machine Learning,Cognitive Services,,Bing Search v5,S5
AI + Machine Learning,Cognitive Services,,Bing Search v5,S6
AI + Machine Learning,Cognitive Services,,Bing Search v7,Free
AI + Machine Learning,Cognitive Services,,Bing Search v7,S1
AI + Machine Learning,Cognitive Services,,Bing Search v7,S10
AI + Machine Learning,Cognitive Services,,Bing Search v7,S2
AI + Machine Learning,Cognitive Services,,Bing Search v7,S3
AI + Machine Learning,Cognitive Services,,Bing Search v7,S4
AI + Machine Learning,Cognitive Services,,Bing Search v7,S5
AI + Machine Learning,Cognitive Services,,Bing Search v7,S6
AI + Machine Learning,Cognitive Services,,Bing Search v7,S7
AI + Machine Learning,Cognitive Services,,Bing Search v7,S8
AI + Machine Learning,Cognitive Services,,Bing Search v7,S9
AI + Machine Learning,Cognitive Services,,Bing Search v7,Statistics
AI + Machine Learning,Cognitive Services,,Bing Speech,Free
AI + Machine Learning,Cognitive Services,,Bing Speech,Standard
AI + Machine Learning,Cognitive Services,,Bing Spell Check,Standard
AI + Machine Learning,Cognitive Services,,Bing Spell Check v5,S1
AI + Machine Learning,Cognitive Services,,Bing Spell Check v5,S2
AI + Machine Learning,Cognitive Services,,Bing Spell Check v5,S3
AI + Machine Learning,Cognitive Services,,Bing Spell Check v7,Free
AI + Machine Learning,Cognitive Services,,Bing Spell Check v7,Standard
AI + Machine Learning,Cognitive Services,,Computer Vision,Azure vCore
AI + Machine Learning,Cognitive Services,,Computer Vision,Batch1
AI + Machine Learning,Cognitive Services,,Computer Vision,Commitment Tier Azure 16000K
AI + Machine Learning,Cognitive Services,,Computer Vision,Commitment Tier Azure 2000K
AI + Machine Learning,Cognitive Services,,Computer Vision,Commitment Tier Azure 500K
AI + Machine Learning,Cognitive Services,,Computer Vision,Commitment Tier Azure 8000K
AI + Machine Learning,Cognitive Services,,Computer Vision,Commitment Tier Connected 16000K
AI + Machine Learning,Cognitive Services,,Computer Vision,Commitment Tier Connected 2000K
AI + Machine Learning,Cognitive Services,,Computer Vision,Commitment Tier Connected 500K
AI + Machine Learning,Cognitive Services,,Computer Vision,Commitment Tier Connected 8000K
AI + Machine Learning,Cognitive Services,,Computer Vision,Connected vCore
AI + Machine Learning,Cognitive Services,,Computer Vision,Free
AI + Machine Learning,Cognitive Services,,Computer Vision,P1
AI + Machine Learning,Cognitive Services,,Computer Vision,P2
AI + Machine Learning,Cognitive Services,,Computer Vision,P3
AI + Machine Learning,Cognitive Services,,Computer Vision,P4
AI + Machine Learning,Cognitive Services,,Computer Vision,P5
AI + Machine Learning,Cognitive Services,,Computer Vision,P6
AI + Machine Learning,Cognitive Services,,Computer Vision,S1
AI + Machine Learning,Cognitive Services,,Computer Vision,S2
AI + Machine Learning,Cognitive Services,,Computer Vision,S3
AI + Machine Learning,Cognitive Services,,Computer Vision - disconnected,Commitment Tier Disconnected 16000K
AI + Machine Learning,Cognitive Services,,Computer Vision - disconnected,Commitment Tier Disconnected 2000K
AI + Machine Learning,Cognitive Services,,Computer Vision - disconnected,Commitment Tier Disconnected 500K
AI + Machine Learning,Cognitive Services,,Computer Vision - disconnected,Commitment Tier Disconnected 8000K
AI + Machine Learning,Cognitive Services,,Computer Vision - vCore,Disconnected vCore
AI + Machine Learning,Cognitive Services,,Content Moderator,Free
AI + Machine Learning,Cognitive Services,,Content Moderator,Standard
AI + Machine Learning,Cognitive Services,,Custom Recognition,S0
AI + Machine Learning,Cognitive Services,,Custom Recognition,S1
AI + Machine Learning,Cognitive Services,,Custom Recognition,S2
AI + Machine Learning,Cognitive Services,,Custom Speech,Free
AI + Machine Learning,Cognitive Services,,Custom Speech,S2
AI + Machine Learning,Cognitive Services,,Custom Vision,Free
AI + Machine Learning,Cognitive Services,,Custom Vision,S0
AI + Machine Learning,Cognitive Services,,Emotion,Basic
AI + Machine Learning,Cognitive Services,,Emotion,Free
AI + Machine Learning,Cognitive Services,,Emotion,Standard
AI + Machine Learning,Cognitive Services,,Face,Free
AI + Machine Learning,Cognitive Services,,Face,P1
AI + Machine Learning,Cognitive Services,,Face,P2
AI + Machine Learning,Cognitive Services,,Face,P3
AI + Machine Learning,Cognitive Services,,Face,Standard
AI + Machine Learning,Cognitive Services,,Form Recognizer,Free
AI + Machine Learning,Cognitive Services,,Form Recognizer,S0
AI + Machine Learning,Cognitive Services,,Immersive Reader,Commercial
AI + Machine Learning,Cognitive Services,,Immersive Reader,EDU/Nonprofit
AI + Machine Learning,Cognitive Services,,Immersive Reader,Free
AI + Machine Learning,Cognitive Services,,Ink Recognizer,Free
AI + Machine Learning,Cognitive Services,,Ink Recognizer,S0
AI + Machine Learning,Cognitive Services,,Language,Azure vCore
AI + Machine Learning,Cognitive Services,,Language,Commitment Tier Azure 10M
AI + Machine Learning,Cognitive Services,,Language,Commitment Tier Azure 1M
AI + Machine Learning,Cognitive Services,,Language,Commitment Tier Azure 25M
AI + Machine Learning,Cognitive Services,,Language,Commitment Tier Azure 3M
AI + Machine Learning,Cognitive Services,,Language,Commitment Tier Connected 10M
AI + Machine Learning,Cognitive Services,,Language,Commitment Tier Connected 1M
AI + Machine Learning,Cognitive Services,,Language,Commitment Tier Connected 25M
AI + Machine Learning,Cognitive Services,,Language,Commitment Tier Connected 3M
AI + Machine Learning,Cognitive Services,,Language,Connected vCore
AI + Machine Learning,Cognitive Services,,Language,Free
AI + Machine Learning,Cognitive Services,,Language,Non-Standard
AI + Machine Learning,Cognitive Services,,Language,S0
AI + Machine Learning,Cognitive Services,,Language,S1
AI + Machine Learning,Cognitive Services,,Language,S2
AI + Machine Learning,Cognitive Services,,Language,S3
AI + Machine Learning,Cognitive Services,,Language,S4
AI + Machine Learning,Cognitive Services,,Language,Standard
AI + Machine Learning,Cognitive Services,,Language - disconnected,Commitment Tier Disconnected 10M
AI + Machine Learning,Cognitive Services,,Language - disconnected,Commitment Tier Disconnected 1M
AI + Machine Learning,Cognitive Services,,Language - disconnected,Commitment Tier Disconnected 25M
AI + Machine Learning,Cognitive Services,,Language - disconnected,Commitment Tier Disconnected 3M
AI + Machine Learning,Cognitive Services,,Language Understanding,Azure vCore
AI + Machine Learning,Cognitive Services,,Language Understanding,Commitment Tier Azure 1M
AI + Machine Learning,Cognitive Services,,Language Understanding,Commitment Tier Azure 25M
AI + Machine Learning,Cognitive Services,,Language Understanding,Commitment Tier Azure 50M
AI + Machine Learning,Cognitive Services,,Language Understanding,Commitment Tier Azure 5M
AI + Machine Learning,Cognitive Services,,Language Understanding,Commitment Tier Connected 1M
AI + Machine Learning,Cognitive Services,,Language Understanding,Commitment Tier Connected 25M
AI + Machine Learning,Cognitive Services,,Language Understanding,Commitment Tier Connected 50M
AI + Machine Learning,Cognitive Services,,Language Understanding,Commitment Tier Connected 5M
AI + Machine Learning,Cognitive Services,,Language Understanding,Connected vCore
AI + Machine Learning,Cognitive Services,,Language Understanding,Free
AI + Machine Learning,Cognitive Services,,Language Understanding,P1
AI + Machine Learning,Cognitive Services,,Language Understanding,S1
AI + Machine Learning,Cognitive Services,,Language Understanding - disconnected,Commitment Tier Disconnected 1M
AI + Machine Learning,Cognitive Services,,Language Understanding - disconnected,Commitment Tier Disconnected 25M
AI + Machine Learning,Cognitive Services,,Language Understanding - disconnected,Commitment Tier Disconnected 50M
AI + Machine Learning,Cognitive Services,,Language Understanding - disconnected,Commitment Tier Disconnected 5M
AI + Machine Learning,Cognitive Services,,Language Understanding - vCore,Disconnected vCore
AI + Machine Learning,Cognitive Services,,Personalizer,Free
AI + Machine Learning,Cognitive Services,,Personalizer,S0
AI + Machine Learning,Cognitive Services,,QnA Maker,Free
AI + Machine Learning,Cognitive Services,,QnA Maker,Standard
AI + Machine Learning,Cognitive Services,,Recommendations,Free
AI + Machine Learning,Cognitive Services,,Recommendations,S1
AI + Machine Learning,Cognitive Services,,Recommendations,S2
AI + Machine Learning,Cognitive Services,,Recommendations,S3
AI + Machine Learning,Cognitive Services,,Recommendations,S4
AI + Machine Learning,Cognitive Services,,Speaker Identification,Standard
AI + Machine Learning,Cognitive Services,,Speaker Recognition,Free
AI + Machine Learning,Cognitive Services,,Speaker Verification,Standard
AI + Machine Learning,Cognitive Services,,Speech,Azure vCore
AI + Machine Learning,Cognitive Services,,Speech,Commitment Tier Neural Text to Speech Azure 2000M
AI + Machine Learning,Cognitive Services,,Speech,Commitment Tier Neural Text to Speech Azure 4000M
AI + Machine Learning,Cognitive Services,,Speech,Commitment Tier Neural Text to Speech Azure 400M
AI + Machine Learning,Cognitive Services,,Speech,Commitment Tier Neural Text to Speech Azure 80M
AI + Machine Learning,Cognitive Services,,Speech,Commitment Tier Neural Text to Speech Connected 2000M
AI + Machine Learning,Cognitive Services,,Speech,Commitment Tier Neural Text to Speech Connected 4000M
AI + Machine Learning,Cognitive Services,,Speech,Commitment Tier Neural Text to Speech Connected 400M
AI + Machine Learning,Cognitive Services,,Speech,Commitment Tier Neural Text to Speech Connected 80M
AI + Machine Learning,Cognitive Services,,Speech,Commitment Tier Speech to Text Azure 100K
AI + Machine Learning,Cognitive Services,,Speech,Commitment Tier Speech to Text Azure 10K
AI + Machine Learning,Cognitive Services,,Speech,Commitment Tier Speech to Text Azure 2K
AI + Machine Learning,Cognitive Services,,Speech,Commitment Tier Speech to Text Azure 50K
AI + Machine Learning,Cognitive Services,,Speech,Commitment Tier Speech to Text Connected 100K
AI + Machine Learning,Cognitive Services,,Speech,Commitment Tier Speech to Text Connected 10K
AI + Machine Learning,Cognitive Services,,Speech,Commitment Tier Speech to Text Connected 2K
AI + Machine Learning,Cognitive Services,,Speech,Commitment Tier Speech to Text Connected 50K
AI + Machine Learning,Cognitive Services,,Speech,Connected vCore
AI + Machine Learning,Cognitive Services,,Speech,Free
AI + Machine Learning,Cognitive Services,,Speech,S1
AI + Machine Learning,Cognitive Services,,Speech - disconnected,Commitment Tier NTTS Disconnected 2000M
AI + Machine Learning,Cognitive Services,,Speech - disconnected,Commitment Tier NTTS Disconnected 4000M
AI + Machine Learning,Cognitive Services,,Speech - disconnected,Commitment Tier NTTS Disconnected 400M
AI + Machine Learning,Cognitive Services,,Speech - disconnected,Commitment Tier NTTS Disconnected 80M
AI + Machine Learning,Cognitive Services,,Speech - disconnected,Commitment Tier STT Disconnected 100K
AI + Machine Learning,Cognitive Services,,Speech - disconnected,Commitment Tier STT Disconnected 10K
AI + Machine Learning,Cognitive Services,,Speech - disconnected,Commitment Tier STT Disconnected 2K
AI + Machine Learning,Cognitive Services,,Speech - disconnected,Commitment Tier STT Disconnected 50K
AI + Machine Learning,Cognitive Services,,Speech - vCore - Disconnected,Disconnected vCore
AI + Machine Learning,Cognitive Services,,Text Analytics - vCore,Disconnected vCore
AI + Machine Learning,Cognitive Services,,Text Analytics Container,Free
AI + Machine Learning,Cognitive Services,,Text Analytics Container,Standard
AI + Machine Learning,Cognitive Services,,Translator - vCore,Disconnected vCore
AI + Machine Learning,Cognitive Services,,Translator Speech,Free
AI + Machine Learning,Cognitive Services,,Translator Speech,S1
AI + Machine Learning,Cognitive Services,,Translator Speech,S2
AI + Machine Learning,Cognitive Services,,Translator Speech,S3
AI + Machine Learning,Cognitive Services,,Translator Speech,S4
AI + Machine Learning,Cognitive Services,,Translator Text,Azure vCore
AI + Machine Learning,Cognitive Services,,Translator Text,C2
AI + Machine Learning,Cognitive Services,,Translator Text,C3
AI + Machine Learning,Cognitive Services,,Translator Text,C4
AI + Machine Learning,Cognitive Services,,Translator Text,Commitment Tier Azure 10000M
AI + Machine Learning,Cognitive Services,,Translator Text,Commitment Tier Azure 1000M
AI + Machine Learning,Cognitive Services,,Translator Text,Commitment Tier Azure 250M
AI + Machine Learning,Cognitive Services,,Translator Text,Commitment Tier Azure 4000M
AI + Machine Learning,Cognitive Services,,Translator Text,Commitment Tier Connected 10000M
AI + Machine Learning,Cognitive Services,,Translator Text,Commitment Tier Connected 1000M
AI + Machine Learning,Cognitive Services,,Translator Text,Commitment Tier Connected 250M
AI + Machine Learning,Cognitive Services,,Translator Text,Commitment Tier Connected 4000M
AI + Machine Learning,Cognitive Services,,Translator Text,Connected vCore
AI + Machine Learning,Cognitive Services,,Translator Text,D3
AI + Machine Learning,Cognitive Services,,Translator Text,Free
AI + Machine Learning,Cognitive Services,,Translator Text,S1
AI + Machine Learning,Cognitive Services,,Translator Text,S2
AI + Machine Learning,Cognitive Services,,Translator Text,S3
AI + Machine Learning,Cognitive Services,,Translator Text,S4
AI + Machine Learning,Cognitive Services,,Translator Text - disconnected,Commitment Tier Disconnected 10000M
AI + Machine Learning,Cognitive Services,,Translator Text - disconnected,Commitment Tier Disconnected 1000M
AI + Machine Learning,Cognitive Services,,Translator Text - disconnected,Commitment Tier Disconnected 250M
AI + Machine Learning,Cognitive Services,,Translator Text - disconnected,Commitment Tier Disconnected 4000M
AI + Machine Learning,Cognitive Services,,Web Language Model,Free
AI + Machine Learning,Cognitive Services,,Web Language Model,Standard
AI + Machine Learning,Intelligent Recommendations,,Intelligent Recommendations,Modelling
AI + Machine Learning,Intelligent Recommendations,,Intelligent Recommendations,Serving
AI + Machine Learning,Machine Learning Service,,Machine Learning Experimentation,Standard
AI + Machine Learning,Machine Learning Studio,,Machine Learning,Standard
AI + Machine Learning,Machine Learning Studio,,Machine Learning Studio,Standard
AI + Machine Learning,Machine Learning Studio,,Machine Learning Studio Production Web API,S1
AI + Machine Learning,Machine Learning Studio,,Machine Learning Studio Production Web API,S2
AI + Machine Learning,Machine Learning Studio,,Machine Learning Studio Production Web API,S3
AI + Machine Learning,Machine Learning Studio,,Machine Learning Studio Production Web API Classic,Classic
AI + Machine Learning,Microsoft Genomics,,Microsoft Genomics,Alignment and Variant Calling
AI + Machine Learning,Syntex,,Syntex Document Understanding,Document Understanding
Analytics,Azure Analysis Services,,Azure Analysis Services Basic,B1
Analytics,Azure Analysis Services,,Azure Analysis Services Basic,B2
Analytics,Azure Analysis Services,,Azure Analysis Services Developer,Developer
Analytics,Azure Analysis Services,,Azure Analysis Services Standard,S0
Analytics,Azure Analysis Services,,Azure Analysis Services Standard,S1
Analytics,Azure Analysis Services,,Azure Analysis Services Standard,S2
Analytics,Azure Analysis Services,,Azure Analysis Services Standard,S4
Analytics,Azure Analysis Services,,Azure Analysis Services Standard,S8
Analytics,Azure Analysis Services,,Azure Analysis Services Standard,S9
Analytics,Azure Analysis Services,,Azure Analysis Services Standard v2,S8 v2
Analytics,Azure Analysis Services,,Azure Analysis Services Standard v2,S9 v2
Analytics,Azure Data Explorer,,Azure Data Explorer,Development
Analytics,Azure Data Explorer,,Azure Data Explorer,Free
Analytics,Azure Data Explorer,,Azure Data Explorer,Standard
Analytics,Azure Data Explorer,,Azure Data Explorer Reservation,Standard
Analytics,Azure Data Factory,,Azure Data Factory,Cloud
Analytics,Azure Data Factory,,Azure Data Factory,On Premises
Analytics,Azure Data Factory v2,,Azure Data Factory v2,Azure Managed VNET
Analytics,Azure Data Factory v2,,Azure Data Factory v2,Cloud
Analytics,Azure Data Factory v2,,Azure Data Factory v2,Operations
Analytics,Azure Data Factory v2,,Azure Data Factory v2,Self Hosted
Analytics,Azure Data Factory v2,,Azure Data Factory v2 - Reservation Free Meter,Standard
Analytics,Azure Data Factory v2,,Azure Data Factory v2 Data Flow - Compute Optimized,vCore
Analytics,Azure Data Factory v2,,Azure Data Factory v2 Data Flow - General Purpose,vCore
Analytics,Azure Data Factory v2,,Azure Data Factory v2 Data Flow - Memory Optimized,vCore
Analytics,Azure Data Factory v2,,Azure Data Factory v2 Wrangling Data Flow - Compute Optimized,vCore
Analytics,Azure Data Factory v2,,Azure Data Factory v2 Wrangling Data Flow - General Purpose,vCore
Analytics,Azure Data Factory v2,,Azure Data Factory v2 Wrangling Data Flow - Memory Optimized,vCore
Analytics,Azure Data Factory v2,,SSIS Enterprise A-series v2 VM,A1 v2
Analytics,Azure Data Factory v2,,SSIS Enterprise A-series v2 VM,A2 v2
Analytics,Azure Data Factory v2,,SSIS Enterprise A-series v2 VM,A4 v2
Analytics,Azure Data Factory v2,,SSIS Enterprise A-series v2 VM,A8 v2
Analytics,Azure Data Factory v2,,SSIS Enterprise D-series v2 VM,D1 v2
Analytics,Azure Data Factory v2,,SSIS Enterprise D-series v2 VM,D2 v2
Analytics,Azure Data Factory v2,,SSIS Enterprise D-series v2 VM,D3 v2
Analytics,Azure Data Factory v2,,SSIS Enterprise D-series v2 VM,D4 v2
Analytics,Azure Data Factory v2,,SSIS Enterprise D-series v3 VM,D16 v3
Analytics,Azure Data Factory v2,,SSIS Enterprise D-series v3 VM,D2 v3
Analytics,Azure Data Factory v2,,SSIS Enterprise D-series v3 VM,D32 v3
Analytics,Azure Data Factory v2,,SSIS Enterprise D-series v3 VM,D4 v3
Analytics,Azure Data Factory v2,,SSIS Enterprise D-series v3 VM,D64 v3
Analytics,Azure Data Factory v2,,SSIS Enterprise D-series v3 VM,D8 v3
Analytics,Azure Data Factory v2,,SSIS Enterprise E-series v3 VM,E16 v3
Analytics,Azure Data Factory v2,,SSIS Enterprise E-series v3 VM,E2 v3
Analytics,Azure Data Factory v2,,SSIS Enterprise E-series v3 VM,E32 v3
Analytics,Azure Data Factory v2,,SSIS Enterprise E-series v3 VM,E4 v3
Analytics,Azure Data Factory v2,,SSIS Enterprise E-series v3 VM,E64 v3
Analytics,Azure Data Factory v2,,SSIS Enterprise E-series v3 VM,E64i v3
Analytics,Azure Data Factory v2,,SSIS Enterprise E-series v3 VM,E8 v3
Analytics,Azure Data Factory v2,,SSIS Enterprise E-series v4 VM,E80ids v4
Analytics,Azure Data Factory v2,,SSIS Standard A-series v2 VM,A1 v2
Analytics,Azure Data Factory v2,,SSIS Standard A-series v2 VM,A2 v2
Analytics,Azure Data Factory v2,,SSIS Standard A-series v2 VM,A4 v2
Analytics,Azure Data Factory v2,,SSIS Standard A-series v2 VM,A8 v2
Analytics,Azure Data Factory v2,,SSIS Standard D-series v2 VM,D1 v2
Analytics,Azure Data Factory v2,,SSIS Standard D-series v2 VM,D2 v2
Analytics,Azure Data Factory v2,,SSIS Standard D-series v2 VM,D3 v2
Analytics,Azure Data Factory v2,,SSIS Standard D-series v2 VM,D4 v2
Analytics,Azure Data Factory v2,,SSIS Standard D-series v3 VM,D16 v3
Analytics,Azure Data Factory v2,,SSIS Standard D-series v3 VM,D2 v3
Analytics,Azure Data Factory v2,,SSIS Standard D-series v3 VM,D32 v3
Analytics,Azure Data Factory v2,,SSIS Standard D-series v3 VM,D4 v3
Analytics,Azure Data Factory v2,,SSIS Standard D-series v3 VM,D64 v3
Analytics,Azure Data Factory v2,,SSIS Standard D-series v3 VM,D8 v3
Analytics,Azure Data Factory v2,,SSIS Standard E-series v3 VM,E16 v3
